step,loss
1464.0,0.0352
1465.0,0.0328
1466.0,0.0329
1467.0,0.0342
1468.0,0.0331
1469.0,0.0363
1470.0,0.0342
1471.0,0.033
1472.0,0.0339
1473.0,0.0283
1474.0,0.0335
1475.0,0.0337
1476.0,0.0363
1477.0,0.0413
1478.0,0.0336
1479.0,0.0287
1480.0,0.0396
1481.0,0.0324
1482.0,0.0368
1483.0,0.0395
1484.0,0.0421
1485.0,0.0378
1486.0,0.0267
1487.0,0.0262
1488.0,0.0398
1489.0,0.0311
1490.0,0.03
1491.0,0.0366
1492.0,0.0262
1493.0,0.0393
1494.0,0.0333
1495.0,0.0397
1496.0,0.0255
1497.0,0.0414
1498.0,0.0287
1499.0,0.0408
1500.0,0.0428
1501.0,0.0237
1502.0,0.034
1503.0,0.032
1504.0,0.0376
1505.0,0.0358
1506.0,0.0412
1507.0,0.0411
1508.0,0.0332
1509.0,0.0365
1510.0,0.0272
1511.0,0.0322
